dayofyear,encounter_type,change_n_interactions
2020-01-19,home,-3.7039924349240083
2020-01-19,business,-3.561364315518256
2020-01-19,other,0.6555827995910368
2020-01-19,poi,3.9280716714861885
2020-01-20,business,-85.05777033361299
2020-01-20,home,7.851003580943217
2020-01-20,poi,22.916804041846373
2020-01-20,other,59.57652929992321
2020-01-21,home,0.0
2020-01-21,other,-6.103929071507763
2020-01-21,poi,-27.052619622797124
2020-01-21,business,-19.19502325286254
2020-01-22,poi,-7.662095367998745
2020-01-22,business,-17.948702357162936
2020-01-22,other,-5.4894307995656195
2020-01-22,home,0.0
2020-01-23,poi,-8.808469203358682
2020-01-23,home,-0.5825074903154537
2020-01-23,business,-15.732409028262428
2020-01-23,other,-2.2204642730212054
2020-01-24,poi,-11.148510537457968
2020-01-24,business,-17.52503030843079
2020-01-24,other,0.0
2020-01-24,home,-0.9152129333779846
2020-01-25,home,0.0
2020-01-25,poi,9.277957542072546
2020-01-25,other,14.516433928281547
2020-01-25,business,-6.055882709087834
2020-01-26,other,11.971755274544748
2020-01-26,home,0.40403805340580856
2020-01-26,business,0.0
2020-01-26,poi,10.470977578813013
2020-01-27,home,-9.083650604552107
2020-01-27,other,0.0
2020-01-27,poi,-8.836292792137678
2020-01-27,business,0.0
2020-01-28,business,5.73567295438393
2020-01-28,home,-6.537187140920453
2020-01-28,poi,3.6237764977828935
2020-01-28,other,-4.5652609319272175
2020-01-29,home,-0.9408278702818795
2020-01-29,other,-3.5478705297915636
2020-01-29,poi,-5.84085327294993
2020-01-29,business,6.156236032257523
2020-01-30,business,6.946985211636081
2020-01-30,poi,0.062451211210445834
2020-01-30,other,0.0
2020-01-30,home,0.9748692424771388
2020-01-31,home,0.0
2020-01-31,poi,3.0554234147917914
2020-01-31,other,-6.7115074123012874
2020-01-31,business,7.509755855514499
2020-02-01,other,10.014741266172633
2020-02-01,home,9.729878232650325
2020-02-01,business,9.249019196818642
2020-02-01,poi,44.60860133941009
2020-02-02,business,2.517217386905668
2020-02-02,poi,-9.250179434537353
2020-02-02,other,6.134775689377503
2020-02-02,home,11.425708887027653
2020-02-03,home,-2.9444766500810737
2020-02-03,business,8.859323012787513
2020-02-03,other,-9.112198069350407
2020-02-03,poi,-8.900807691812652
2020-02-04,poi,0.0
2020-02-04,home,3.165536023688631
2020-02-04,business,6.452218965577128
2020-02-04,other,-3.2086554566415626
2020-02-05,business,6.168930028113229
2020-02-05,home,2.9124321884118842
2020-02-05,poi,6.808118496149129
2020-02-05,other,-8.016558077972647
2020-02-06,business,4.8143767100977675
2020-02-06,poi,0.0
2020-02-06,other,-16.574311123012542
2020-02-06,home,-3.74723695042094
2020-02-07,other,-19.58690089866576
2020-02-07,home,-6.657977154126026
2020-02-07,poi,-29.31782650360918
2020-02-07,business,0.0
2020-02-08,other,28.90921439084362
2020-02-08,home,13.896526018150833
2020-02-08,poi,20.028126780001408
2020-02-08,business,13.264876238031299
