dayofyear,Food,Shop & Service
2020-02-24,-0.4971002485501308,-1.6913319238900715
2020-02-25,0.0,1.9832985386221358
2020-02-26,-0.8986928104575131,2.8865979381443196
2020-02-27,0.0,4.953560371517041
2020-02-28,-1.4173228346456734,-0.19762845849803368
2020-02-29,0.1413427561837599,0.7792207792207684
2020-03-01,-1.6594516594516717,0.34662045060658286
2020-03-02,-0.5799502899751507,-0.5285412262156508
2020-03-03,-0.983606557377048,-0.10438413361170129
2020-03-04,-0.8169934640522736,1.8556701030927547
2020-03-05,-0.7340946166394691,0.0
2020-03-06,-1.1811023622047223,1.2845849802371356
2020-03-07,-3.5335689045936314,0.08658008658009031
2020-03-08,-6.6378066378066425,-0.7798960138648336
2020-03-09,-1.0770505385252815,-3.0655391120507414
2020-03-10,-1.147540983606543,1.7745302713987554
2020-03-11,-1.3071895424836555,3.1958762886597825
2020-03-12,-2.528548123980423,10.216718266253878
2020-03-13,-4.960629921259841,3.162055335968361
2020-03-14,-12.650176678445224,-5.1948051948051965
2020-03-15,-13.41991341991342,-11.871750433275574
2020-03-16,-28.583264291632148,-4.8625792811839315
2020-03-17,-45.90163934426229,-14.613778705636749
2020-03-18,-47.79411764705882,-19.175257731958773
2020-03-19,-49.02120717781403,-18.782249742002055
2020-03-20,-49.4488188976378,-17.984189723320153
2020-03-21,-52.791519434628974,-26.49350649350649
2020-03-22,-55.916305916305916,-28.856152512998268
2020-03-23,-49.29577464788733,-21.03594080338267
2020-03-24,-50.1639344262295,-20.563674321503132
2020-03-25,-50.81699346405229,-21.340206185567013
2020-03-26,-51.060358890701465,-22.18782249742002
2020-03-27,-52.51968503937008,-25.09881422924901
2020-03-28,-57.455830388692576,-24.84848484848485
2020-03-29,-56.42135642135643,-21.923743500866554
2020-03-30,-49.79287489643745,-18.076109936575058
2020-03-31,-50.655737704918025,-18.89352818371608
2020-04-01,-50.98039215686274,-21.23711340206187
2020-04-02,-51.305057096247964,-17.647058823529406
2020-04-03,-52.51968503937008,-21.837944664031617
2020-04-04,-57.455830388692576,-26.14718614718614
2020-04-05,-56.493506493506494,-23.22357019064125
2020-04-06,-49.9585749792875,-18.076109936575058
2020-04-07,-50.737704918032776,-19.20668058455115
2020-04-08,-50.81699346405229,-17.525773195876294
2020-04-09,-50.97879282218597,-15.067079463364285
2020-04-10,-52.51968503937008,-17.391304347826086
2020-04-11,-57.10247349823321,-26.75324675324675
2020-04-12,-56.13275613275614,-35.26863084922011
2020-04-13,-50.207125103562554,-22.19873150105708
2020-04-14,-50.737704918032776,-17.014613778705634
2020-04-15,-50.81699346405229,-17.628865979381448
2020-04-16,-50.97879282218597,-16.099071207430327
2020-04-17,-52.51968503937008,-22.134387351778663
2020-04-18,-57.6678445229682,-26.66666666666666
2020-04-19,-56.565656565656575,-27.81629116117852
