date,metric,StringencyIndex,dailyDeathsPop,dailyCasesPop,state,prec_weighted,temp_weighted,weekday,dayofyear
2020-08-23,0.8499754408758893,0.5926,0.9189921899178448,2.811034933866349,AZ,0.5311591875140278,39.063123610534994,6,236
2020-08-24,0.7589417109220039,0.5926,0.202718865423054,4.20303780977132,AZ,0.09816645193396108,41.10218931921371,0,237
2020-08-25,0.7943663113524906,0.5926,0.0,11.609033693226893,AZ,0.12709990500454788,43.12259215587835,1,238
2020-08-26,0.7847740675836795,0.5926,0.2838064115922756,2.51371393124587,AZ,0.1354122090628963,42.19469736384864,2,239
2020-08-27,0.8223478218982321,0.5926,1.4055174669331745,9.189921899178447,AZ,0.035659837283642866,41.82187353208227,3,240
2020-08-28,0.8720304184879579,0.5926,0.4459815039307188,7.0140727436376675,AZ,0.1843556685877911,42.27556149794889,4,241
2020-08-29,1.0890145853328508,0.5926,0.6622149603819764,8.500677756740066,AZ,0.17810883288266066,41.56807441081335,5,242
2020-08-30,0.8264174005704077,0.5926,0.3919231398179045,5.054457044548147,AZ,3.7539422684991006,37.55970632692189,6,243
2020-08-31,0.7504681975366205,0.5926,0.3108355936486828,2.3515388389074263,AZ,3.5633443277011634,35.73166057985171,0,244
2020-01-03,0.923681343004052,0.0,0.0,0.0,KY,16.17264277507348,11.56062397707397,4,3
2020-01-04,0.9851064010245709,0.0,0.0,0.0,KY,11.081117390299296,12.47252976730624,5,4
2020-01-05,0.8164780968958516,0.0,0.0,0.0,KY,0.788986913256072,6.244353078734603,6,5
2020-01-06,0.7705085251774696,0.0,0.0,0.0,KY,0.0,9.48370857644589,0,6
2020-01-07,0.7741307574393538,0.0,0.0,0.0,KY,0.782674982090227,9.207608517521603,1,7
2020-01-08,0.7833813252232432,0.0,0.0,0.0,KY,0.19698047929545331,9.41711894150055,2,8
2020-01-09,0.8208565714378628,0.0556,0.0,0.0,KY,0.0,8.931480976590338,3,9
2020-01-10,0.9538738367392235,0.0556,0.0,0.0,KY,0.2308643352036609,15.19274116110185,4,10
2020-01-11,0.9515817279814444,0.0556,0.0,0.0,KY,8.82609502524385,18.671852445349774,5,11
2020-01-12,0.844672039040678,0.0556,0.0,0.0,KY,30.035070691051327,21.14515461832093,6,12
2020-01-13,0.8076105625573499,0.0556,0.0,0.0,KY,0.007142923513062577,8.151455884345593,0,13
2020-01-14,0.8336616157699644,0.0556,0.0,0.0,KY,3.1381401432368907,10.803765472691143,1,14
2020-01-15,0.8487783075089392,0.0556,0.0,0.0,KY,0.5647690367563877,13.337464713853862,2,15
2020-01-16,0.8633210683586698,0.0556,0.0,0.0,KY,1.1412846771818304,18.110659998905692,3,16
2020-01-17,0.9854661548401809,0.0556,0.0,0.0,KY,2.247013027198579e-07,7.055273356476216,4,17
2020-01-18,0.9901257153579136,0.0556,0.0,0.0,KY,1.7342024170210508,8.458901464140839,5,18
2020-01-19,0.7947109808948299,0.0556,0.0,0.0,KY,7.764235228785408,12.123387541610477,6,19
2020-01-20,0.7202164968800765,0.0556,0.0,0.0,KY,0.03857210795098849,-2.7154957632817163,0,20
2020-01-21,0.7588140965315786,0.0556,0.0,0.0,KY,0.0035308350860420467,-3.8906346553191935,1,21
2020-01-22,0.8121232928969252,0.0556,0.0,0.0,KY,1.9549412592346544e-05,-0.09849863569406436,2,22
2020-01-23,0.8443518681604804,0.0556,0.0,0.0,KY,0.006971891283103455,4.859844933913287,3,23
2020-01-24,0.9702120510999626,0.0556,0.0,0.0,KY,12.052943045397404,9.182024132075878,4,24
2020-01-25,1.0284630428123749,0.0556,0.0,0.0,KY,8.035907415342807,9.255835088410548,5,25
2020-01-26,0.8521207338725587,0.0556,0.0,0.0,KY,0.09147075431144576,3.0828580902683798,6,26
2020-01-27,0.755164674087307,0.0556,0.0,0.0,KY,0.5508450665483461,7.267191442020563,0,27
2020-01-28,0.7809281910403783,0.0556,0.0,0.0,KY,0.18512245221293547,7.793503585517508,1,28
2020-01-29,0.7792297837063833,0.0556,0.0,0.0,KY,0.09297154617661063,2.892400260628075,2,29
